"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_404: Total private dwellings","v_CA16_406: Population density per square kilometre","v_CA16_407: Land area in square kilometres","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_412: Semi-detached house","v_CA16_413: Row house","v_CA16_414: Apartment or flat in a duplex","v_CA16_415: Apartment in a building that has fewer than five storeys","v_CA16_416: Other single-attached house","v_CA16_417: Movable dwelling","v_CA16_7: 0 to 4 years","v_CA16_25: 5 to 9 years","v_CA16_43: 10 to 14 years","v_CA16_64: 15 to 19 years","v_CA16_82: 20 to 24 years","v_CA16_100: 25 to 29 years","v_CA16_118: 30 to 34 years","v_CA16_136: 35 to 39 years","v_CA16_154: 40 to 44 years","v_CA16_172: 45 to 49 years","v_CA16_190: 50 to 54 years","v_CA16_208: 55 to 59 years","v_CA16_226: 60 to 64 years","v_CA16_244: 65 years and over","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2213: Median after-tax income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_3957: Total visible minority population","v_CA16_3960: South Asian","v_CA16_3963: Chinese","v_CA16_3966: Black","v_CA16_3969: Filipino","v_CA16_3972: Latin American","v_CA16_3975: Arab","v_CA16_3978: Southeast Asian","v_CA16_3981: West Asian","v_CA16_3984: Korean","v_CA16_3987: Japanese","v_CA16_3990: Visible minority, n.i.e.","v_CA16_3993: Multiple visible minorities","v_CA16_3986: Korean","v_CA16_379: Average age","v_CA16_4986: Average after-tax income of households in 2015 ($)","v_CA16_2398: Median after-tax income of households in 2015 ($)","v_CA16_5666: 1 Business, finance and administration occupations","v_CA16_5054: No certificate, diploma or degree","v_CA16_5057: Secondary (high) school diploma or equivalency certificate","v_CA16_5062: Postsecondary certificate, diploma or degree","v_CA16_5072: College, CEGEP or other non-university certificate or diploma","v_CA16_5075: University certificate or diploma below bachelor level"
"12","35240110","DA","Oakville",0.12399,365,117,116,"3524001","3524","5350612.12","35535",365,117,2941.2,0.12,115,0,0,0,0,0,0,0,15,15,30,30,25,15,15,20,35,25,30,20,40,60,40832,35392,63744,26688,55,20,10,0,10,0,20,0,0,0,0,0,0,0,41.3,147115,117248,65,25,100,100,70,10
"13","35240111","DA","Oakville",0.16763,698,286,276,"3524001","3524","5350613.01","35535",698,286,4164.7,0.17,70,0,0,200,0,0,0,0,35,45,50,50,45,35,55,50,35,50,55,70,50,80,30624,28192,35669,28352,265,35,30,100,30,10,35,15,10,0,0,0,10,0,38.6,69581,61248,50,125,145,135,125,10
"14","35240112","DA","Oakville",0.18176,391,149,147,"3524001","3524","5350613.01","35535",391,149,2149.5,0.18,145,0,0,0,0,0,0,0,15,25,20,30,25,20,20,20,30,30,30,35,15,75,34752,31712,40320,27456,85,40,0,0,10,30,0,0,0,0,0,0,0,0,43,82706,77568,30,55,145,60,50,0
"15","35240113","DA","Oakville",0.19893,347,111,111,"3524001","3524","5350613.01","35535",347,111,1744.6,0.2,100,0,5,0,0,0,0,0,30,20,25,30,25,15,20,20,20,25,25,20,20,45,41344,37760,56149,33408,60,10,40,0,0,10,0,0,0,0,0,0,0,0,37.2,114681,107776,10,20,50,80,45,10
"16","35240114","DA","Oakville",1.04801,1183,445,437,"3524001","3524","5350613.01","35535",1183,445,1166.1,1.01,410,0,15,0,20,0,0,0,40,65,70,70,75,40,55,40,90,95,100,90,85,260,46304,40608,54656,40021,125,15,75,20,0,10,0,0,0,0,0,0,0,0,44,98554,94293,115,120,225,290,160,50
"17","35240115","DA","Oakville",0.11747,435,124,124,"3524001","3524","5350612.12","35535",435,124,3702.1,0.12,120,0,0,0,5,0,0,0,15,35,35,40,35,20,10,15,35,40,45,40,35,40,54080,47232,78251,44032,150,40,35,0,0,10,15,0,0,15,10,0,20,15,38.2,229531,154624,45,50,75,120,55,0
"18","35240116","DA","Oakville",0.0628,311,110,106,"3524001","3524","5350613.01","35535",311,110,4952.2,0.06,60,0,40,0,5,0,0,0,20,25,15,20,20,15,10,30,30,20,20,20,10,50,34496,31744,53120,28992,85,35,15,0,0,0,0,0,0,15,20,0,0,10,39.3,91465,79872,35,40,65,100,75,10
"19","35240117","DA","Oakville",0.10837,464,181,171,"3524001","3524","5350613.01","35535",464,181,4280.4,0.11,80,0,50,40,0,0,0,0,25,35,30,25,40,20,35,35,40,25,40,25,30,65,37312,33664,43968,30720,85,10,0,0,25,0,0,10,10,0,0,10,15,0,38.5,87312,75520,75,55,165,125,95,0
"20","35240118","DA","Oakville",0.16578,740,269,267,"3524001","3524","5350613.01","35535",740,269,4465.9,0.17,115,0,105,30,5,5,0,0,40,25,40,50,45,50,60,50,50,60,60,55,55,110,40320,35456,45184,36352,170,60,25,30,25,25,0,10,0,0,0,0,0,0,40.4,84937,82816,70,80,195,215,155,30
"21","35240120","DA","Oakville",0.23149,558,209,204,"3524001","3524","5350613.03","35535",558,209,2410.4,0.23,160,0,20,20,5,0,0,0,20,30,30,35,40,25,25,30,40,35,50,55,30,115,36736,32672,46720,30080,85,0,45,0,10,10,10,0,0,15,0,0,0,0,43.5,98646,81664,65,65,110,160,100,10
"22","35240123","DA","Oakville",0.24128,806,360,339,"3524001","3524","5350613.03","35535",806,360,3340.2,0.24,50,230,0,50,0,0,0,0,20,35,35,45,70,70,55,30,60,50,40,45,55,205,29568,27392,32768,26496,160,50,25,30,0,0,15,0,0,0,0,25,10,0,46,68078,51840,100,100,185,175,130,10
"23","35240124","DA","Oakville",0.27162,392,172,162,"3524001","3524","5350613.03","35535",392,172,1443.3,0.27,55,50,15,0,10,30,0,0,15,20,20,30,30,25,35,25,25,35,25,30,25,55,23968,23264,27488,21440,125,60,0,25,0,15,0,0,0,10,0,0,0,10,40.2,49074,48128,25,70,70,70,85,10
"24","35240125","DA","Oakville",0.17377,331,132,120,"3524001","3524","5350613.03","35535",331,132,1903.4,0.17,100,0,0,0,0,10,10,0,20,25,15,10,25,20,30,25,25,20,25,15,25,55,32192,30272,34432,31872,55,20,10,20,0,0,0,0,10,0,0,0,0,0,39.9,88147,77056,25,25,85,105,75,10
"25","35240126","DA","Oakville",0.7408,477,167,167,"3524001","3524","5350614.01","35535",477,167,644,0.74,140,0,0,5,0,25,0,0,20,25,35,60,25,20,10,20,35,45,40,40,30,75,55360,47808,62592,49536,80,10,30,30,0,0,0,0,0,0,0,0,0,0,40.7,139595,112384,65,45,80,150,50,25
"26","35240127","DA","Oakville",0.2266,479,175,174,"3524001","3524","5350614.01","35535",479,175,2114.8,0.23,170,0,0,0,0,0,0,0,30,25,25,35,25,15,15,25,30,45,45,40,30,95,46080,39552,59264,37632,70,10,0,15,0,10,15,0,0,15,0,0,0,10,43.5,111289,106496,70,45,75,140,85,10
"27","35240128","DA","Oakville",0.14086,712,255,255,"3524001","3524","5350614.02","35535",712,255,5053.2,0.14,60,0,10,185,0,0,0,0,30,45,50,50,45,45,55,40,50,60,65,55,35,80,42304,37632,46848,36992,130,25,10,50,0,25,0,0,0,15,10,0,0,15,38,88746,81664,95,55,165,195,125,0
"28","35240129","DA","Oakville",0.24234,490,184,184,"3524001","3524","5350614.02","35535",490,184,2022.3,0.24,155,0,0,30,0,0,0,0,15,35,35,25,25,20,20,35,25,40,50,50,30,90,48000,43136,53888,45952,95,10,30,10,10,0,15,0,0,10,0,0,0,0,43,106507,99072,50,35,105,150,85,25
"29","35240130","DA","Oakville",0.21826,529,173,173,"3524001","3524","5350614.01","35535",529,173,2424.4,0.22,175,0,0,0,0,0,0,0,25,25,35,30,40,30,20,30,30,40,50,50,40,85,48064,41344,61568,37504,85,25,35,0,0,0,0,10,0,0,0,10,10,0,41.8,125856,108288,55,25,115,140,90,15
"30","35240131","DA","Oakville",0.15777,473,173,173,"3524001","3524","5350614.02","35535",473,173,2997.5,0.16,170,0,0,0,0,0,0,0,20,30,20,25,30,15,15,30,30,25,45,35,35,120,47168,41792,55680,42624,115,60,10,20,0,0,0,0,15,0,10,0,0,0,45.1,117392,101760,40,10,125,160,125,10
"31","35240132","DA","Oakville",0.15302,499,183,183,"3524001","3524","5350614.02","35535",499,183,3261.4,0.15,150,0,30,0,5,0,0,0,25,30,25,20,30,20,10,40,30,30,45,45,40,120,45376,39328,51456,37504,55,0,10,10,0,0,40,0,0,0,0,0,0,0,45.7,106161,97536,55,45,135,120,100,20
"32","35240134","DA","Oakville",2.88911,536,165,165,"3524001","3524","5350600.02","35535",536,165,185.5,2.89,55,0,0,110,0,0,0,0,30,50,55,60,55,20,30,30,35,30,40,55,20,20,26048,25696,36736,24661,285,15,65,110,0,0,10,0,85,0,0,0,0,0,32,90531,60544,60,80,80,120,75,0
"33","35240135","DA","Oakville",0.75136,616,222,207,"3524001","3524","5350601.00","35535",616,222,819.8,0.75,200,0,0,0,10,0,0,0,25,45,45,70,40,20,15,25,60,60,40,60,40,75,44864,38080,66560,33920,165,80,65,0,0,0,0,0,0,10,0,0,0,0,39.6,165942,121216,75,65,100,195,80,20
"34","35240136","DA","Oakville",0.18757,469,151,143,"3524001","3524","5350601.00","35535",469,151,2501.3,0.19,140,0,0,0,5,0,0,0,10,35,55,50,35,5,5,10,30,55,45,45,25,65,49792,41568,80640,34432,60,0,30,0,0,15,0,0,0,0,10,0,10,0,39.2,147682,144896,35,60,60,125,60,10
"35","35240137","DA","Oakville",0.2875,519,160,156,"3524001","3524","5350601.00","35535",519,160,1805.2,0.29,155,0,0,0,0,0,0,0,20,45,45,55,35,15,10,15,45,50,55,45,15,65,50944,43904,88320,37376,150,25,65,0,10,10,0,0,30,10,0,0,0,10,37.7,304212,168448,55,50,50,160,75,10
"36","35240138","DA","Oakville",0.34162,437,146,140,"3524001","3524","5350601.00","35535",437,146,1279.3,0.34,140,0,0,0,0,0,0,0,10,25,55,35,30,15,10,5,40,45,30,40,25,70,66688,60032,131413,41856,90,15,0,0,10,0,0,15,30,0,20,0,0,0,40.8,263814,191488,40,35,35,130,45,0
"37","35240139","DA","Oakville",0.27739,444,142,138,"3524001","3524","5350601.00","35535",444,142,1600.6,0.28,135,0,0,0,0,0,0,0,10,30,40,45,30,15,5,15,35,35,45,45,25,65,56064,51115,105216,38656,95,35,25,0,0,20,0,0,10,0,0,0,0,0,40.3,306571,180224,60,35,60,120,25,10
"38","35240140","DA","Oakville",0.51396,523,191,172,"3524001","3524","5350601.00","35535",523,191,1017.5,0.51,155,0,0,0,0,15,0,0,10,20,40,65,50,20,5,15,20,50,55,50,35,105,48768,42368,81664,38016,105,25,55,0,0,0,0,0,0,0,15,0,0,0,43.1,376975,171520,40,40,75,145,60,10
"39","35240141","DA","Oakville",0.34492,426,128,121,"3524001","3524","5350601.00","35535",426,128,1235.1,0.34,120,0,0,0,5,0,0,0,10,35,50,55,30,10,5,10,25,55,35,35,15,60,46720,40064,86272,31808,85,45,15,0,15,0,0,0,0,0,0,0,10,0,38.6,315498,155392,50,35,65,135,85,10
"40","35240142","DA","Oakville",0.27114,444,139,132,"3524001","3524","5350600.01","35535",444,139,1637.2,0.27,130,0,0,0,0,0,0,0,20,30,35,55,35,15,5,10,25,40,35,45,35,60,52608,46421,61312,43136,160,45,95,0,0,0,20,0,0,0,0,0,0,0,39.7,252686,149504,65,70,50,140,50,0
"41","35240143","DA","Oakville",0.23519,539,182,172,"3524001","3524","5350600.01","35535",539,182,2291.7,0.24,175,0,0,0,0,0,0,0,10,50,40,50,40,20,10,25,35,50,55,45,25,85,39168,34816,62336,31296,150,90,10,10,0,0,10,0,0,15,0,0,10,10,39.9,169391,121088,85,65,80,155,60,10
"42","35240144","DA","Oakville",0.35749,559,190,185,"3524001","3524","5350600.01","35535",559,190,1563.6,0.36,185,0,0,0,0,0,0,0,15,35,50,60,35,10,10,15,40,55,40,50,35,105,57664,46592,85504,33408,50,0,35,0,0,0,0,0,0,10,0,0,0,10,42.1,204684,145792,50,45,140,165,70,15
"43","35240145","DA","Oakville",0.18114,544,196,196,"3524001","3524","5350600.01","35535",544,196,3002.2,0.18,195,0,0,0,0,0,0,0,25,40,35,45,30,10,10,20,45,35,40,45,45,120,53120,45312,75520,41173,105,15,30,0,0,0,0,0,10,15,0,25,10,10,43.5,125962,110592,35,30,65,165,65,15
"44","35240146","DA","Oakville",0.19894,514,164,164,"3524001","3524","5350600.01","35535",514,164,2582.9,0.2,165,0,0,0,0,0,0,0,25,30,40,45,45,15,10,25,35,40,50,35,40,80,58624,50432,81152,41856,40,0,0,0,0,10,0,0,0,0,15,0,10,0,40.4,170619,151040,55,15,85,140,55,15
"45","35240147","DA","Oakville",1.73118,656,217,214,"3524001","3524","5350600.01","35535",656,217,378.9,1.73,210,0,0,0,0,0,0,0,15,60,70,50,35,20,15,25,50,75,55,45,50,100,58752,50304,77824,45440,100,15,50,20,10,0,0,0,0,10,0,0,0,10,40.3,210890,137216,55,35,80,195,65,30
"46","35240148","DA","Oakville",0.62929,578,181,180,"3524001","3524","5350600.01","35535",578,181,921,0.63,180,0,0,0,0,0,0,0,20,35,45,70,40,10,10,25,35,45,55,50,35,95,50304,43520,80640,39168,155,70,50,10,0,0,10,0,0,25,0,0,0,20,40.2,180153,143872,30,55,70,165,45,15
"47","35240150","DA","Oakville",0.07942,460,150,149,"3524001","3524","5350600.02","35535",460,150,5793.5,0.08,55,0,25,65,0,0,0,0,25,35,30,30,50,20,30,25,40,30,55,35,25,50,40448,36224,50048,35712,200,95,30,0,30,0,20,10,0,10,0,0,0,0,38.2,108883,105216,70,30,115,140,80,10
"48","35240152","DA","Oakville",0.16243,534,167,166,"3524001","3524","5350600.02","35535",534,167,3288.2,0.16,130,0,0,30,0,0,0,0,15,30,25,50,50,25,30,15,40,40,45,65,50,65,40896,36416,48256,36480,205,35,50,60,0,20,0,0,15,20,0,10,0,15,40.7,110772,114176,60,55,95,140,85,15
"49","35240153","DA","Oakville",0.07438,353,107,106,"3524001","3524","5350600.02","35535",353,107,4744.6,0.07,100,0,0,0,5,0,0,0,20,25,15,20,30,20,15,25,25,20,30,35,30,55,38784,33664,44928,32448,205,40,110,15,15,0,20,0,0,0,0,15,0,0,41.2,134382,116992,45,30,55,115,65,0
"50","35240154","DA","Oakville",0.10668,501,145,143,"3524001","3524","5350600.02","35535",501,145,4695.4,0.11,140,0,0,0,10,0,0,0,30,35,40,25,35,35,15,25,40,30,40,50,35,65,42688,39253,52608,38016,215,55,35,55,15,0,15,0,25,0,0,0,10,0,39.2,135532,117888,80,20,60,155,80,0
"51","35240155","DA","Oakville",0.08198,447,144,143,"3524001","3524","5350600.02","35535",447,144,5451.2,0.08,140,0,0,0,5,0,0,0,15,35,35,35,30,20,10,25,30,45,45,35,35,60,37824,33664,50752,30592,165,55,55,25,0,0,0,0,20,0,0,0,10,0,40.5,110122,99072,50,50,105,135,80,0
"52","35240156","DA","Oakville",0.26246,598,177,177,"3524001","3524","5350600.02","35535",598,177,2279,0.26,175,0,0,0,5,0,0,0,25,35,30,40,50,30,40,20,45,50,50,45,35,105,35456,32640,40832,29632,300,135,90,20,0,0,10,0,0,10,0,25,10,10,41.1,118046,107648,60,40,120,185,95,15
"53","35240157","DA","Oakville",0.59556,460,125,125,"3524001","3524","5350600.02","35535",460,125,772.3,0.6,120,0,0,0,5,0,0,0,25,35,35,35,30,25,20,30,30,40,35,45,25,55,38784,35200,47104,28096,275,75,65,0,40,0,50,15,20,0,0,0,0,0,38.2,112730,104704,20,45,100,130,35,0
"54","35240158","DA","Oakville",0.10573,430,124,124,"3524001","3524","5350600.02","35535",430,124,4064.3,0.11,120,0,0,0,0,0,0,0,20,20,25,35,25,25,15,20,25,45,30,40,35,60,46464,40661,55808,38272,200,40,70,35,0,0,10,0,20,0,0,0,30,0,40.6,112719,130560,50,65,80,115,75,20
"55","35240159","DA","Oakville",0.10274,395,117,117,"3524001","3524","5350600.02","35535",395,117,3842.4,0.1,110,0,0,0,5,0,0,0,15,20,30,40,35,15,15,15,15,45,30,40,30,55,35200,32448,41856,28608,155,25,65,15,30,0,10,0,0,0,15,0,0,0,40.3,115197,112725,35,30,65,110,40,15
"56","35240160","DA","Oakville",0.27288,626,190,190,"3524001","3524","5350600.02","35535",626,190,2293,0.27,160,0,0,20,10,0,0,0,25,35,35,60,45,25,30,20,45,50,60,65,35,115,41920,37333,53376,34752,205,30,80,10,25,10,30,0,0,10,0,10,0,0,42.2,150494,114944,75,65,135,170,80,15
"57","35240161","DA","Oakville",0.26962,605,179,176,"3524001","3524","5350600.02","35535",605,179,2243.2,0.27,155,0,0,0,20,0,0,0,20,35,55,30,40,25,15,40,35,45,50,60,55,105,35200,31424,42112,31168,355,105,85,15,35,0,70,0,25,20,0,0,0,10,42.3,122328,101376,75,80,110,155,100,30
"58","35240162","DA","Oakville",0.11444,468,140,140,"3524001","3524","5350600.02","35535",468,140,4087.3,0.11,140,0,0,0,0,0,0,0,25,30,30,25,35,30,25,25,30,35,45,50,30,65,50496,42944,56704,46208,210,30,85,45,10,0,0,0,0,30,0,15,0,10,40,160908,138240,85,50,80,145,75,20
"59","35240165","DA","Oakville",0.3556,992,312,309,"3524001","3524","5350612.24","35535",992,312,2789.7,0.36,240,0,0,70,0,0,0,0,25,60,90,85,85,30,20,35,60,90,115,115,60,120,51840,45952,71424,40576,340,105,170,10,0,0,15,15,0,0,0,0,0,0,40.4,207773,141483,145,70,130,320,130,10
"60","35240166","DA","Oakville",0.0956,398,122,122,"3524001","3524","5350612.25","35535",398,122,4163.2,0.1,120,0,0,0,0,0,0,0,10,20,30,20,40,25,5,15,25,30,30,50,50,50,41024,35285,61056,32704,120,45,45,0,10,10,0,0,0,0,0,0,10,0,42.5,124867,137728,25,40,70,105,50,0
"61","35240167","DA","Oakville",0.16017,444,136,134,"3524001","3524","5350612.25","35535",444,136,2771.5,0.16,130,0,0,0,5,0,0,0,15,25,30,40,35,20,10,25,30,35,30,40,35,70,45952,41472,65152,24768,190,65,55,35,0,0,0,0,0,15,0,10,0,0,41.5,126792,130304,25,50,75,120,100,0
"62","35240168","DA","Oakville",0.20981,713,250,249,"3524001","3524","5350614.02","35535",713,250,3398.5,0.21,245,0,0,0,5,0,0,0,30,55,35,55,45,30,15,40,50,55,75,50,55,115,40704,36693,50304,35200,90,20,10,15,0,15,15,0,0,20,0,0,10,15,41.6,99005,96000,70,60,165,170,145,20
"63","35240169","DA","Oakville",0.11713,740,273,273,"3524001","3524","5350614.01","35535",740,273,6319.4,0.12,25,0,100,150,0,0,0,0,45,50,30,50,55,40,55,60,60,55,85,70,35,60,37291,33382,44416,32896,270,80,35,25,10,45,0,0,35,0,0,0,30,0,37.5,80696,78656,90,140,240,165,95,0
"64","35240170","DA","Oakville",0.17288,463,168,167,"3524001","3524","5350612.25","35535",463,168,2677.8,0.17,45,0,25,90,5,0,0,0,15,30,30,40,40,15,15,25,30,40,40,45,30,65,40875,36949,49856,36736,195,80,45,0,0,20,15,0,0,25,10,0,0,10,40.1,93242,86400,55,50,85,130,60,10
"65","35240171","DA","Oakville",0.09658,442,141,141,"3524001","3524","5350612.25","35535",442,141,4575.6,0.1,105,0,40,0,0,0,0,0,15,15,25,45,35,25,25,10,25,30,50,40,40,60,46080,41472,51584,39872,130,20,45,20,0,0,25,0,0,10,0,0,0,0,41,145062,114944,40,35,100,130,40,0
"66","35240172","DA","Oakville",0.10892,449,137,137,"3524001","3524","5350612.25","35535",449,137,4123,0.11,135,0,0,0,5,0,0,0,10,20,30,35,45,15,15,20,30,25,45,45,50,70,40448,36224,53376,32320,80,0,50,0,0,0,0,0,0,20,15,0,0,10,42.8,123891,129792,25,45,105,75,25,0
"67","35240173","DA","Oakville",0.11128,480,136,135,"3524001","3524","5350612.08","35535",480,136,4312.7,0.11,135,0,0,0,5,0,0,0,25,25,20,40,50,35,20,25,20,20,45,50,40,60,35840,31744,48128,28800,140,55,25,20,0,0,35,0,0,0,0,0,0,0,39.6,129580,128384,40,50,100,130,75,20
"68","35240174","DA","Oakville",0.0607,227,74,74,"3524001","3524","5350612.08","35535",227,74,3739.7,0.06,70,0,0,0,5,0,0,0,10,15,15,15,20,15,0,10,15,25,20,15,25,30,NA,NA,NA,NA,90,55,35,0,0,0,0,0,0,0,0,0,0,0,41.6,NA,116224,20,0,30,95,35,0
"69","35240175","DA","Oakville",0.29995,624,187,186,"3524001","3524","5350612.08","35535",624,187,2080,0.3,180,0,0,0,10,0,0,0,20,40,40,55,60,25,15,15,45,50,50,50,35,115,38741,34816,52352,29760,185,45,95,0,0,0,0,30,0,0,10,0,0,0,41,121430,107520,65,75,85,200,100,0
"70","35240176","DA","Oakville",0.09492,393,124,123,"3524001","3524","5350612.08","35535",393,124,4136.8,0.1,100,0,0,0,15,0,0,0,10,10,10,25,40,30,20,30,20,25,20,35,40,65,26752,24704,28992,24384,200,140,25,0,0,20,0,0,0,15,0,0,0,0,43.5,94479,88192,50,95,70,80,60,10
"71","35240177","DA","Oakville",0.11451,492,148,147,"3524001","3524","5350612.08","35535",492,148,4293.2,0.11,130,0,0,0,20,0,0,0,15,35,25,30,40,30,25,25,30,35,30,35,50,90,31168,28992,38912,24896,145,85,50,0,0,0,10,0,0,0,0,0,0,0,42.3,106349,104192,45,45,80,125,85,15
"72","35240179","DA","Oakville",0.17147,511,156,155,"3524001","3524","5350612.27","35535",511,156,2981.3,0.17,145,0,0,0,10,0,0,0,20,30,40,45,40,30,30,15,30,45,40,55,40,75,40576,36416,51072,32192,205,110,65,10,10,0,0,0,0,0,0,0,10,0,40.6,122968,111872,40,60,70,130,100,10
"73","35240180","DA","Oakville",0.05163,271,85,85,"3524001","3524","5350612.27","35535",271,85,5251.9,0.05,50,0,0,35,5,0,0,0,15,20,20,20,20,10,15,15,15,15,25,20,15,40,40960,36736,49536,34176,95,25,40,30,0,0,0,0,0,0,0,0,0,0,37.5,116191,98560,45,35,55,55,35,0
