"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population"
"94","35240207","DA","Oakville",0.24397,544,178,171,"3524001","3524","5350602.00","35535",544,170,0,560,60
"95","35240208","DA","Oakville",0.18129,585,221,214,"3524001","3524","5350602.00","35535",585,175,40,605,100
"96","35240209","DA","Oakville",0.24986,577,212,200,"3524001","3524","5350602.00","35535",577,110,45,420,45
"97","35240210","DA","Oakville",0.90811,830,417,400,"3524001","3524","5350602.00","35535",830,80,300,645,110
"98","35240211","DA","Oakville",0.85762,503,193,184,"3524001","3524","5350602.00","35535",503,170,0,430,55
"99","35240212","DA","Oakville",0.5105,681,215,205,"3524001","3524","5350601.00","35535",681,200,0,680,170
"100","35240213","DA","Oakville",0.11676,746,374,360,"3524001","3524","5350604.00","35535",746,25,280,635,85
"101","35240214","DA","Oakville",0.40725,676,273,247,"3524001","3524","5350604.00","35535",676,220,20,525,65
"102","35240215","DA","Oakville",0.14404,420,233,206,"3524001","3524","5350604.00","35535",420,70,0,380,35
"103","35240216","DA","Oakville",0.23458,501,378,339,"3524001","3524","5350604.00","35535",501,10,215,495,10
"104","35240217","DA","Oakville",0.17484,683,308,291,"3524001","3524","5350603.00","35535",683,40,220,785,340
"105","35240218","DA","Oakville",0.15165,426,184,170,"3524001","3524","5350603.00","35535",426,95,5,380,55
"106","35240219","DA","Oakville",0.18719,596,253,244,"3524001","3524","5350603.00","35535",596,150,50,685,175
"107","35240220","DA","Oakville",0.14596,1248,743,710,"3524001","3524","5350603.00","35535",1248,90,575,1300,420
"108","35240221","DA","Oakville",0.33517,353,306,180,"3524001","3524","5350603.00","35535",353,40,70,350,115
"109","35240222","DA","Oakville",1.79407,349,145,134,"3524001","3524","5350606.00","35535",349,105,0,375,50
"110","35240223","DA","Oakville",0.09577,417,217,199,"3524001","3524","5350606.00","35535",417,70,0,380,170
"111","35240224","DA","Oakville",0.03339,610,289,285,"3524001","3524","5350603.00","35535",610,15,230,595,230
"112","35240225","DA","Oakville",0.07094,433,210,208,"3524001","3524","5350606.00","35535",433,55,100,420,60
"113","35240226","DA","Oakville",0.13252,468,272,260,"3524001","3524","5350606.00","35535",468,65,160,490,90
"114","35240227","DA","Oakville",0.15835,607,313,303,"3524001","3524","5350606.00","35535",607,100,0,625,150
"115","35240228","DA","Oakville",0.12803,469,151,148,"3524001","3524","5350606.00","35535",469,55,0,480,285
"116","35240229","DA","Oakville",0.203,401,146,136,"3524001","3524","5350606.00","35535",401,120,0,330,75
"117","35240230","DA","Oakville",0.15883,422,163,157,"3524001","3524","5350606.00","35535",422,140,0,420,40
"118","35240231","DA","Oakville",0.22882,457,181,170,"3524001","3524","5350606.00","35535",457,165,0,485,110
"119","35240232","DA","Oakville",0.17286,465,173,166,"3524001","3524","5350606.00","35535",465,155,0,440,165
"120","35240233","DA","Oakville",0.25088,604,232,221,"3524001","3524","5350606.00","35535",604,220,0,630,40
"121","35240234","DA","Oakville",0.41714,723,270,258,"3524001","3524","5350607.00","35535",723,230,0,690,140
"122","35240235","DA","Oakville",0.22878,505,182,177,"3524001","3524","5350607.00","35535",505,175,0,460,40
"123","35240236","DA","Oakville",0.14498,406,146,142,"3524001","3524","5350607.00","35535",406,135,0,425,105
"124","35240237","DA","Oakville",0.26064,517,189,183,"3524001","3524","5350607.00","35535",517,180,0,580,60
"125","35240238","DA","Oakville",0.17393,330,133,127,"3524001","3524","5350607.00","35535",330,125,0,350,40
"126","35240239","DA","Oakville",2.01247,497,194,185,"3524001","3524","5350607.00","35535",497,170,0,455,95
"127","35240240","DA","Oakville",0.17876,446,174,165,"3524001","3524","5350608.00","35535",446,155,0,490,65
"128","35240241","DA","Oakville",0.33456,557,204,194,"3524001","3524","5350608.00","35535",557,195,0,505,65
