"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_674: Under $10,000 (including loss)","v_CA21_677: $10,000 to $19,999","v_CA21_680: $20,000 to $29,999","v_CA21_683: $30,000 to $39,999","v_CA21_686: $40,000 to $49,999","v_CA21_689: $50,000 to $59,999","v_CA21_692: $60,000 to $69,999","v_CA21_695: $70,000 to $79,999","v_CA21_698: $80,000 to $89,999","v_CA21_701: $90,000 to $99,999","v_CA21_707: $100,000 to $149,999","v_CA21_710: $150,000 and over","v_CA21_915: Average total income of household in 2020 ($)","v_CA21_916: Average after-tax income of household in 2020 ($)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4878: South Asian","v_CA21_4881: Chinese","v_CA21_4884: Black","v_CA21_4887: Filipino","v_CA21_4890: Arab","v_CA21_4893: Latin American","v_CA21_4896: Southeast Asian","v_CA21_4899: West Asian","v_CA21_4902: Korean","v_CA21_4905: Japanese","v_CA21_4908: Visible minority, n.i.e.","v_CA21_4911: Multiple visible minorities","v_CA21_4914: Not a visible minority","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5898: Bachelor's degree","v_CA21_5901: University certificate or diploma above bachelor level"
"204","35240606","DA","35240606",0.0804,369,112,110,"3524001","3524","5350612.12","35535",58400,25,35,30,20,15,15,15,10,10,15,40,40,180000,134000,205,110,0,40,35,0,0,0,0,0,0,10,0,0,25,170,0,25,80,0
"205","35240607","DA","35240607",0.127,592,196,193,"3524001","3524","5350612.12","35535",44400,50,50,75,45,45,30,20,25,15,15,60,50,145000,121000,290,260,0,50,90,35,0,0,0,0,0,0,0,0,0,290,0,40,135,25
"206","35240608","DA","35240608",0.0621,321,99,99,"3524001","3524","5350612.12","35535",53200,25,25,35,20,20,15,15,15,15,15,40,20,196000,152000,225,105,0,40,20,0,0,0,0,0,0,0,0,0,0,255,0,40,90,0
"207","35240609","DA","35240609",0.1117,439,130,129,"3524001","3524","5350612.12","35535",46000,45,45,35,25,25,20,15,10,5,20,40,50,216000,168000,335,95,0,0,55,0,0,0,0,0,0,10,0,0,0,285,0,35,95,10
"208","35240610","DA","35240610",0.1707,409,127,126,"3524001","3524","5350612.27","35535",56000,40,35,25,20,25,20,25,15,20,15,40,50,244000,180000,285,145,0,60,60,0,0,0,10,0,0,15,10,0,0,280,0,50,100,0
"209","35240611","DA","35240611",0.2353,1051,333,332,"3524001","3524","5350612.27","35535",56400,95,70,70,70,50,45,45,35,25,35,130,105,190000,142500,595,325,30,95,175,20,10,30,30,15,0,20,0,25,40,490,0,50,210,15
"210","35240612","DA","35240612",0.0674,349,110,109,"3524001","3524","5350612.27","35535",50000,40,35,20,30,15,15,15,20,10,10,45,30,212000,164000,175,215,15,145,50,0,0,20,0,0,0,15,0,10,10,150,0,25,100,10
"211","35240613","DA","35240613",0.2169,469,145,143,"3524001","3524","5350612.27","35535",56000,45,30,40,25,30,15,25,15,15,20,55,50,184000,144000,305,145,0,55,65,20,0,10,0,0,0,0,0,0,0,285,0,15,100,10
"212","35240614","DA","35240614",0.1672,369,111,110,"3524001","3524","5350612.27","35535",48400,45,30,30,20,25,15,15,10,10,5,40,35,228000,176000,240,145,0,50,45,0,0,0,0,0,0,0,0,0,0,250,0,10,95,0
"213","35240615","DA","35240615",0.2346,924,322,317,"3524001","3524","5350613.03","35535",43600,75,75,105,85,70,60,45,35,35,40,75,35,130000,110000,610,320,35,115,120,30,0,10,40,0,25,0,0,0,0,610,25,105,165,20
