"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_1: Population, 2021","v_CA21_2: Population, 2016","v_CA21_386: Average age","v_CA21_907: Median after-tax income of household in 2020 ($)","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_818: Median total income in 2019 among recipients ($)"
"282","35240958","DA","35240958",0.1683,733,228,215,"3524001","3524","5350615.00","35535",733,NA,31.9,126000,53200,52000
"283","35240959","DA","35240959",0.1338,666,196,187,"3524001","3524","5350615.00","35535",666,NA,33.7,130000,46800,50000
"284","35240960","DA","35240960",0.0827,1004,445,418,"3524001","3524","5350615.00","35535",1004,NA,33.4,80000,46400,40800
"285","35240961","DA","35240961",0.2593,1419,526,497,"3524001","3524","5350615.00","35535",1419,NA,33.1,88000,43600,37600
"286","35240962","DA","35240962",2.4456,1248,447,380,"3524001","3524","5350615.00","35535",1248,NA,38.4,118000,43600,44400
"287","35240963","DA","35240963",0.2491,1682,476,461,"3524001","3524","5350615.00","35535",1682,NA,33.1,133000,50800,49200
"288","35240964","DA","35240964",0.1661,1042,298,284,"3524001","3524","5350615.00","35535",1042,NA,30.9,140000,58400,55200
"289","35240965","DA","35240965",0.2678,1866,502,493,"3524001","3524","5350615.00","35535",1866,NA,32.6,134000,47200,47200
"290","35240966","DA","35240966",0.2821,1061,364,339,"3524001","3524","5350615.00","35535",1061,NA,30.8,99000,47600,44000
"291","35240967","DA","35240967",0.2162,1381,499,481,"3524001","3524","5350615.00","35535",1381,NA,33.5,98000,50000,46400
"292","35240968","DA","35240968",0.4234,1383,420,407,"3524001","3524","5350615.00","35535",1383,NA,32.1,108000,43200,40800
"293","35240969","DA","35240969",0.1195,841,221,215,"3524001","3524","5350615.00","35535",841,NA,33.8,146000,44000,52800
"294","35240970","DA","35240970",0.0814,604,186,179,"3524001","3524","5350615.00","35535",604,NA,33.4,124000,50400,50800
"295","35240978","DA","35240978",0.1404,1066,586,548,"3524001","3524","5350612.15","35535",1066,NA,35.5,68500,52000,47600
"296","35240979","DA","35240979",0.2115,1065,322,315,"3524001","3524","5350612.15","35535",1065,NA,34.8,112000,46800,44400
"297","35240980","DA","35240980",0.5517,1297,402,396,"3524001","3524","5350612.15","35535",1297,NA,43.7,139000,60800,61600
"298","35240981","DA","35240981",0.0945,409,114,113,"3524001","3524","5350612.15","35535",409,NA,37.8,158000,49200,52000
"299","35240982","DA","35240982",0.8636,1594,482,475,"3524001","3524","5350612.15","35535",1594,NA,36,143000,57600,58800
"300","35240983","DA","35240983",0.3474,1034,317,315,"3524001","3524","5350612.15","35535",1034,NA,36.3,131000,51200,56000
"301","35240984","DA","35240984",0.0946,495,169,168,"3524001","3524","5350612.15","35535",495,NA,41.7,131000,54000,61600
"302","35240985","DA","35240985",1.7478,1029,317,315,"3524001","3524","5350612.15","35535",1029,NA,39.1,154000,57600,58400
"303","35240986","DA","35240986",0.3518,1459,507,496,"3524001","3524","5350612.22","35535",1459,NA,32.3,104000,52000,48400
"304","35240987","DA","35240987",0.2718,1184,300,298,"3524001","3524","5350612.22","35535",1184,NA,35.2,170000,48800,47600
"305","35240988","DA","35240988",0.2103,1400,466,459,"3524001","3524","5350612.22","35535",1400,NA,33,105000,52000,50400
"306","35241030","DA","35241030",1.1646,2893,912,902,"3524001","3524","5350610.05","35535",2893,NA,38.4,145000,57600,56800
"307","35241031","DA","35241031",0.7369,2578,873,851,"3524001","3524","5350610.06","35535",2578,NA,39.5,131000,49600,50400
"308","35241034","DA","35241034",0.2062,1289,387,382,"3524001","3524","5350612.21","35535",1289,NA,33.3,119000,51600,51200
"309","35241035","DA","35241035",0.1339,756,229,225,"3524001","3524","5350612.21","35535",756,NA,31.6,97000,46800,38800
"310","35241036","DA","35241036",0.149,878,216,215,"3524001","3524","5350612.21","35535",878,NA,34.6,164000,48800,49600
"311","35241045","DA","35241045",0.1356,418,159,158,"3524001","3524","5350610.05","35535",418,NA,42.4,101000,51200,49600
"312","35241046","DA","35241046",0.5295,1109,486,475,"3524001","3524","5350610.06","35535",1109,NA,51.1,110000,56400,60800
