"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_7: 0 to 4 years","v_CA16_25: 5 to 9 years","v_CA16_43: 10 to 14 years","v_CA16_64: 15 to 19 years","v_CA16_82: 20 to 24 years","v_CA16_100: 25 to 29 years","v_CA16_118: 30 to 34 years","v_CA16_136: 35 to 39 years","v_CA16_154: 40 to 44 years","v_CA16_172: 45 to 49 years","v_CA16_190: 50 to 54 years","v_CA16_208: 55 to 59 years","v_CA16_226: 60 to 64 years","v_CA16_247: 65 to 69 years","v_CA16_265: 70 to 74 years","v_CA16_283: 75 to 79 years","v_CA16_301: 80 to 84 years","v_CA16_319: 85 years and over","v_CA16_2213: Median after-tax income in 2015 among recipients ($)","v_CA16_2207: Median total income in 2015 among recipients ($)"
"56","35240160","DA","Oakville",0.27288,626,190,190,"3524001","3524","5350600.02","35535",25,35,35,60,45,25,30,20,45,50,60,65,35,50,25,15,15,10,37333,41920
"57","35240161","DA","Oakville",0.26962,605,179,176,"3524001","3524","5350600.02","35535",20,35,55,30,40,25,15,40,35,45,50,60,55,40,25,15,20,5,31424,35200
"58","35240162","DA","Oakville",0.11444,468,140,140,"3524001","3524","5350600.02","35535",25,30,30,25,35,30,25,25,30,35,45,50,30,25,15,15,5,5,42944,50496
"59","35240165","DA","Oakville",0.3556,992,312,309,"3524001","3524","5350612.24","35535",25,60,90,85,85,30,20,35,60,90,115,115,60,50,35,15,15,10,45952,51840
"60","35240166","DA","Oakville",0.0956,398,122,122,"3524001","3524","5350612.25","35535",10,20,30,20,40,25,5,15,25,30,30,50,50,20,10,10,5,5,35285,41024
"61","35240167","DA","Oakville",0.16017,444,136,134,"3524001","3524","5350612.25","35535",15,25,30,40,35,20,10,25,30,35,30,40,35,25,15,10,5,10,41472,45952
"62","35240168","DA","Oakville",0.20981,713,250,249,"3524001","3524","5350614.02","35535",30,55,35,55,45,30,15,40,50,55,75,50,55,50,30,15,10,10,36693,40704
"63","35240169","DA","Oakville",0.11713,740,273,273,"3524001","3524","5350614.01","35535",45,50,30,50,55,40,55,60,60,55,85,70,35,30,10,5,5,10,33382,37291
"64","35240170","DA","Oakville",0.17288,463,168,167,"3524001","3524","5350612.25","35535",15,30,30,40,40,15,15,25,30,40,40,45,30,25,20,5,5,5,36949,40875
"65","35240171","DA","Oakville",0.09658,442,141,141,"3524001","3524","5350612.25","35535",15,15,25,45,35,25,25,10,25,30,50,40,40,30,10,5,5,5,41472,46080
"66","35240172","DA","Oakville",0.10892,449,137,137,"3524001","3524","5350612.25","35535",10,20,30,35,45,15,15,20,30,25,45,45,50,20,20,15,10,10,36224,40448
"67","35240173","DA","Oakville",0.11128,480,136,135,"3524001","3524","5350612.08","35535",25,25,20,40,50,35,20,25,20,20,45,50,40,25,15,10,5,5,31744,35840
"68","35240174","DA","Oakville",0.0607,227,74,74,"3524001","3524","5350612.08","35535",10,15,15,15,20,15,0,10,15,25,20,15,25,10,15,5,0,0,NA,NA
"69","35240175","DA","Oakville",0.29995,624,187,186,"3524001","3524","5350612.08","35535",20,40,40,55,60,25,15,15,45,50,50,50,35,45,35,25,10,5,34816,38741
"70","35240176","DA","Oakville",0.09492,393,124,123,"3524001","3524","5350612.08","35535",10,10,10,25,40,30,20,30,20,25,20,35,40,25,15,15,5,5,24704,26752
"71","35240177","DA","Oakville",0.11451,492,148,147,"3524001","3524","5350612.08","35535",15,35,25,30,40,30,25,25,30,35,30,35,50,40,25,15,10,5,28992,31168
"72","35240179","DA","Oakville",0.17147,511,156,155,"3524001","3524","5350612.27","35535",20,30,40,45,40,30,30,15,30,45,40,55,40,30,20,5,5,5,36416,40576
"73","35240180","DA","Oakville",0.05163,271,85,85,"3524001","3524","5350612.27","35535",15,20,20,20,20,10,15,15,15,15,25,20,15,15,15,5,0,0,36736,40960
"74","35240181","DA","Oakville",0.19791,595,216,212,"3524001","3524","5350612.27","35535",25,35,30,40,55,20,30,35,50,50,45,65,25,35,35,10,10,10,37376,42624
"75","35240182","DA","Oakville",0.08072,360,116,114,"3524001","3524","5350612.27","35535",15,20,20,35,25,25,20,15,15,30,30,50,25,15,10,5,5,5,33920,38912
"76","35240184","DA","Oakville",0.21571,1035,366,365,"3524001","3524","5350612.27","35535",35,45,50,70,55,50,55,50,60,85,55,85,60,50,35,40,35,110,30656,34112
"77","35240188","DA","Oakville",0.10882,507,154,153,"3524001","3524","5350612.25","35535",20,30,20,55,55,35,10,20,30,30,55,50,40,25,15,10,5,0,36736,42368
"78","35240189","DA","Oakville",0.59269,1056,469,463,"3524001","3524","5350613.03","35535",45,40,80,60,85,45,40,55,65,70,85,70,60,85,50,40,45,45,29376,31595
"79","35240192","DA","Oakville",0.14356,599,197,193,"3524001","3524","5350613.04","35535",15,25,35,30,65,45,25,25,30,40,55,65,45,40,30,15,5,10,32896,37664
"80","35240193","DA","Oakville",0.14525,1054,477,407,"3524001","3524","5350613.04","35535",25,30,35,115,255,145,45,55,35,55,55,65,45,30,35,15,5,5,17621,17894
"81","35240194","DA","Oakville",0.30861,734,366,357,"3524001","3524","5350613.04","35535",20,20,30,35,50,30,25,20,35,40,50,50,45,55,75,65,55,40,33408,36896
"82","35240195","DA","Oakville",0.06273,588,260,251,"3524001","3524","5350613.04","35535",20,25,25,30,65,90,55,40,35,35,30,40,25,15,15,20,15,10,25280,26944
"83","35240196","DA","Oakville",0.15238,406,134,133,"3524001","3524","5350614.01","35535",15,25,35,30,20,15,10,15,30,30,30,30,40,45,20,10,5,5,46208,52096
"84","35240197","DA","Oakville",0.13322,506,178,178,"3524001","3524","5350614.01","35535",15,25,30,40,45,30,20,25,25,35,40,65,40,30,25,10,5,5,37888,43840
