"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_379: Average age","v_CA16_4986: Average after-tax income of households in 2015 ($)","v_CA16_2398: Median after-tax income of households in 2015 ($)","v_CA16_2213: Median after-tax income in 2015 among recipients ($)"
"63","35240169","DA","Oakville",0.11713,740,273,273,"3524001","3524","5350614.01","35535",740,37.5,80696,78656,33382
"64","35240170","DA","Oakville",0.17288,463,168,167,"3524001","3524","5350612.25","35535",463,40.1,93242,86400,36949
"65","35240171","DA","Oakville",0.09658,442,141,141,"3524001","3524","5350612.25","35535",442,41,145062,114944,41472
"66","35240172","DA","Oakville",0.10892,449,137,137,"3524001","3524","5350612.25","35535",449,42.8,123891,129792,36224
"67","35240173","DA","Oakville",0.11128,480,136,135,"3524001","3524","5350612.08","35535",480,39.6,129580,128384,31744
"68","35240174","DA","Oakville",0.0607,227,74,74,"3524001","3524","5350612.08","35535",227,41.6,NA,116224,NA
"69","35240175","DA","Oakville",0.29995,624,187,186,"3524001","3524","5350612.08","35535",624,41,121430,107520,34816
"70","35240176","DA","Oakville",0.09492,393,124,123,"3524001","3524","5350612.08","35535",393,43.5,94479,88192,24704
"71","35240177","DA","Oakville",0.11451,492,148,147,"3524001","3524","5350612.08","35535",492,42.3,106349,104192,28992
"72","35240179","DA","Oakville",0.17147,511,156,155,"3524001","3524","5350612.27","35535",511,40.6,122968,111872,36416
"73","35240180","DA","Oakville",0.05163,271,85,85,"3524001","3524","5350612.27","35535",271,37.5,116191,98560,36736
"74","35240181","DA","Oakville",0.19791,595,216,212,"3524001","3524","5350612.27","35535",595,41.6,110541,92672,37376
"75","35240182","DA","Oakville",0.08072,360,116,114,"3524001","3524","5350612.27","35535",360,38.4,147824,121088,33920
"76","35240184","DA","Oakville",0.21571,1035,366,365,"3524001","3524","5350612.27","35535",1035,47.6,81855,66509,30656
"77","35240188","DA","Oakville",0.10882,507,154,153,"3524001","3524","5350612.25","35535",507,38.9,165878,128768,36736
"78","35240189","DA","Oakville",0.59269,1056,469,463,"3524001","3524","5350613.03","35535",1056,44.4,70347,52416,29376
"79","35240192","DA","Oakville",0.14356,599,197,193,"3524001","3524","5350613.04","35535",599,42.1,118493,103680,32896
"80","35240193","DA","Oakville",0.14525,1054,477,407,"3524001","3524","5350613.04","35535",1054,34.5,57853,47915,17621
"81","35240194","DA","Oakville",0.30861,734,366,357,"3524001","3524","5350613.04","35535",734,52.7,69578,61568,33408
"82","35240195","DA","Oakville",0.06273,588,260,251,"3524001","3524","5350613.04","35535",588,39.4,68645,54144,25280
"83","35240196","DA","Oakville",0.15238,406,134,133,"3524001","3524","5350614.01","35535",406,42.3,147307,124544,46208
"84","35240197","DA","Oakville",0.13322,506,178,178,"3524001","3524","5350614.01","35535",506,41.9,100912,95744,37888
"85","35240198","DA","Oakville",0.13849,444,154,153,"3524001","3524","5350600.01","35535",444,43.6,157461,111872,42112
"86","35240199","DA","Oakville",0.21466,519,162,161,"3524001","3524","5350600.01","35535",519,39.8,205446,156160,45056
"87","35240200","DA","Oakville",0.22525,481,146,145,"3524001","3524","5350600.01","35535",481,40.4,210023,151296,50688
"88","35240201","DA","Oakville",0.26003,426,132,130,"3524001","3524","5350600.01","35535",426,39.4,241566,152576,49280
"89","35240202","DA","Oakville",0.5064,598,206,196,"3524001","3524","5350600.01","35535",598,43.5,492721,179712,50304
"90","35240203","DA","Oakville",0.50527,527,182,167,"3524001","3524","5350602.00","35535",527,40.7,332621,291840,66987
"91","35240204","DA","Oakville",0.36321,430,135,126,"3524001","3524","5350602.00","35535",430,38.5,351055,235008,55936
"92","35240205","DA","Oakville",0.30789,393,132,122,"3524001","3524","5350602.00","35535",393,40.6,433736,177152,46848
"93","35240206","DA","Oakville",0.40766,509,174,165,"3524001","3524","5350602.00","35535",509,43.8,522947,215552,68736
"94","35240207","DA","Oakville",0.24397,544,178,171,"3524001","3524","5350602.00","35535",544,38.3,268776,173568,54144
"95","35240208","DA","Oakville",0.18129,585,221,214,"3524001","3524","5350602.00","35535",585,41.1,179056,137728,48384
"96","35240209","DA","Oakville",0.24986,577,212,200,"3524001","3524","5350602.00","35535",577,53.9,105342,68096,34752
"97","35240210","DA","Oakville",0.90811,830,417,400,"3524001","3524","5350602.00","35535",830,54.8,247796,73045,44928
"98","35240211","DA","Oakville",0.85762,503,193,184,"3524001","3524","5350602.00","35535",503,40.9,255448,109312,46592
"99","35240212","DA","Oakville",0.5105,681,215,205,"3524001","3524","5350601.00","35535",681,38.4,291471,199936,50048
"100","35240213","DA","Oakville",0.11676,746,374,360,"3524001","3524","5350604.00","35535",746,55.3,76497,49280,33344
"101","35240214","DA","Oakville",0.40725,676,273,247,"3524001","3524","5350604.00","35535",676,45.2,301517,174336,64128
"102","35240215","DA","Oakville",0.14404,420,233,206,"3524001","3524","5350604.00","35535",420,51.5,155475,101632,53056
"103","35240216","DA","Oakville",0.23458,501,378,339,"3524001","3524","5350604.00","35535",501,62.5,86313,56192,38656
"104","35240217","DA","Oakville",0.17484,683,308,291,"3524001","3524","5350603.00","35535",683,37.4,78317,58848,28651
"105","35240218","DA","Oakville",0.15165,426,184,170,"3524001","3524","5350603.00","35535",426,40.3,86807,72704,33920
"106","35240219","DA","Oakville",0.18719,596,253,244,"3524001","3524","5350603.00","35535",596,43.2,86300,68096,32160
"107","35240220","DA","Oakville",0.14596,1248,743,710,"3524001","3524","5350603.00","35535",1248,43.5,49947,43328,28160
"108","35240221","DA","Oakville",0.33517,353,306,180,"3524001","3524","5350603.00","35535",353,35.8,72425,54272,32704
"109","35240222","DA","Oakville",1.79407,349,145,134,"3524001","3524","5350606.00","35535",349,45.6,67115,65536,25856
"110","35240223","DA","Oakville",0.09577,417,217,199,"3524001","3524","5350606.00","35535",417,42.8,50927,46976,27424
"111","35240224","DA","Oakville",0.03339,610,289,285,"3524001","3524","5350603.00","35535",610,38.4,49071,46293,25611
"112","35240225","DA","Oakville",0.07094,433,210,208,"3524001","3524","5350606.00","35535",433,41.8,45003,40960,23910
"113","35240226","DA","Oakville",0.13252,468,272,260,"3524001","3524","5350606.00","35535",468,46.1,49251,41984,28544
"114","35240227","DA","Oakville",0.15835,607,313,303,"3524001","3524","5350606.00","35535",607,47.3,67756,55360,32141
"115","35240228","DA","Oakville",0.12803,469,151,148,"3524001","3524","5350606.00","35535",469,35.4,52974,45995,19008
"116","35240229","DA","Oakville",0.203,401,146,136,"3524001","3524","5350606.00","35535",401,43.9,130379,121600,37248
"117","35240230","DA","Oakville",0.15883,422,163,157,"3524001","3524","5350606.00","35535",422,47.6,79597,60800,27712
"118","35240231","DA","Oakville",0.22882,457,181,170,"3524001","3524","5350606.00","35535",457,45.8,80375,67072,28480
"119","35240232","DA","Oakville",0.17286,465,173,166,"3524001","3524","5350606.00","35535",465,43.1,75564,79189,30480
"120","35240233","DA","Oakville",0.25088,604,232,221,"3524001","3524","5350606.00","35535",604,42.4,151856,98688,38485
"121","35240234","DA","Oakville",0.41714,723,270,258,"3524001","3524","5350607.00","35535",723,42.4,121045,92160,34688
"122","35240235","DA","Oakville",0.22878,505,182,177,"3524001","3524","5350607.00","35535",505,42.9,134567,107264,40640
"123","35240236","DA","Oakville",0.14498,406,146,142,"3524001","3524","5350607.00","35535",406,42.5,94769,81664,35200
"124","35240237","DA","Oakville",0.26064,517,189,183,"3524001","3524","5350607.00","35535",517,42.9,127604,89984,37760
"125","35240238","DA","Oakville",0.17393,330,133,127,"3524001","3524","5350607.00","35535",330,44.6,85600,69376,34464
"126","35240239","DA","Oakville",2.01247,497,194,185,"3524001","3524","5350607.00","35535",497,44.5,87070,79104,32832
"127","35240240","DA","Oakville",0.17876,446,174,165,"3524001","3524","5350608.00","35535",446,41.3,105508,77952,33664
"128","35240241","DA","Oakville",0.33456,557,204,194,"3524001","3524","5350608.00","35535",557,41.7,123542,88917,36352
"129","35240242","DA","Oakville",0.19969,609,137,136,"3524001","3524","5350608.00","35535",609,42.7,91554,75776,24149
"130","35240243","DA","Oakville",0.17252,507,173,165,"3524001","3524","5350608.00","35535",507,40.5,98285,84096,29632
"131","35240244","DA","Oakville",0.34099,768,267,262,"3524001","3524","5350611.00","35535",768,41,96299,80896,32192
"132","35240245","DA","Oakville",0.19771,495,176,174,"3524001","3524","5350611.00","35535",495,41.2,103296,86528,36896
"133","35240246","DA","Oakville",0.21742,475,160,156,"3524001","3524","5350611.00","35535",475,41.7,115836,101888,39680
"134","35240247","DA","Oakville",0.09647,328,122,121,"3524001","3524","5350611.00","35535",328,46.1,127974,97536,38336
"135","35240248","DA","Oakville",0.26463,541,179,178,"3524001","3524","5350611.00","35535",541,40.5,128819,103680,43392
"136","35240249","DA","Oakville",0.18369,464,158,158,"3524001","3524","5350611.00","35535",464,40.9,108046,100096,41920
"137","35240250","DA","Oakville",0.17152,444,159,149,"3524001","3524","5350610.03","35535",444,39.8,101378,90368,36992
"138","35240251","DA","Oakville",0.31058,851,474,463,"3524001","3524","5350610.03","35535",851,57.3,83565,62592,36992
"139","35240252","DA","Oakville",0.23578,539,314,256,"3524001","3524","5350610.03","35535",539,49.6,93225,70144,37589
"140","35240253","DA","Oakville",0.07696,884,527,495,"3524001","3524","5350610.03","35535",884,50.3,86087,58560,35968
"141","35240254","DA","Oakville",0.17584,413,201,190,"3524001","3524","5350610.03","35535",413,42.1,99537,64512,32448
"142","35240255","DA","Oakville",0.08057,1050,607,598,"3524001","3524","5350610.04","35535",1050,70.9,55041,42240,30382
"143","35240256","DA","Oakville",0.31205,541,180,179,"3524001","3524","5350610.04","35535",541,40.8,120958,106240,38080
"144","35240257","DA","Oakville",0.09908,512,213,211,"3524001","3524","5350610.04","35535",512,43,86517,79787,36480
"145","35240258","DA","Oakville",0.05967,137,64,61,"3524001","3524","5350610.04","35535",137,55.5,NA,101120,NA
"146","35240259","DA","Oakville",0.23592,1402,945,899,"3524001","3524","5350610.03","35535",1402,65.3,77318,59584,39509
"147","35240260","DA","Oakville",0.45399,815,397,349,"3524001","3524","5350610.02","35535",815,48.4,144673,114603,48320
"148","35240261","DA","Oakville",0.12252,310,122,120,"3524001","3524","5350610.02","35535",310,44.7,144859,96768,46016
"149","35240262","DA","Oakville",0.10266,359,131,130,"3524001","3524","5350610.02","35535",359,41,99900,93440,39168
"150","35240263","DA","Oakville",0.11641,386,132,131,"3524001","3524","5350610.02","35535",386,38.4,109314,111872,45440
"151","35240265","DA","Oakville",0.11066,396,132,130,"3524001","3524","5350610.02","35535",396,40.8,113839,112896,37568
"152","35240266","DA","Oakville",0.29846,478,166,162,"3524001","3524","5350610.02","35535",478,41.1,129221,133632,46208
"153","35240267","DA","Oakville",8.08113,68,20,19,"3524001","3524","5350612.01","35535",68,37.8,NA,NA,NA
"154","35240268","DA","Oakville",0.93654,795,276,272,"3524001","3524","5350611.00","35535",795,43.3,106966,95488,36523
"155","35240269","DA","Oakville",2.62015,875,308,307,"3524001","3524","5350611.00","35535",875,44.4,102964,90880,35328
"156","35240270","DA","Oakville",0.52438,555,223,204,"3524001","3524","5350608.00","35535",555,43.5,92928,73216,28864
"157","35240271","DA","Oakville",0.08887,251,91,90,"3524001","3524","5350611.00","35535",251,44.4,NA,103680,NA
"158","35240272","DA","Oakville",2.96302,1375,544,498,"3524001","3524","5350612.03","35535",1375,40,136218,98816,41643
"159","35240273","DA","Oakville",0.05891,287,80,80,"3524001","3524","5350612.03","35535",287,38.3,130924,164352,44672
"160","35240274","DA","Oakville",0.13869,514,167,162,"3524001","3524","5350612.03","35535",514,34.6,102335,88576,32085
"161","35240275","DA","Oakville",0.15702,572,164,162,"3524001","3524","5350612.03","35535",572,40,124917,114176,30827
"162","35240276","DA","Oakville",0.21165,497,145,145,"3524001","3524","5350612.03","35535",497,40.4,138230,131328,38016
"163","35240277","DA","Oakville",0.11527,664,252,250,"3524001","3524","5350612.03","35535",664,36.7,73933,46208,22861
"164","35240278","DA","Oakville",0.06256,276,80,80,"3524001","3524","5350612.03","35535",276,39.7,148342,134144,36224
"165","35240279","DA","Oakville",0.14096,517,155,155,"3524001","3524","5350612.03","35535",517,38.9,139033,111360,34859
"166","35240280","DA","Oakville",0.0983,585,188,188,"3524001","3524","5350612.03","35535",585,34.9,102212,84480,33600
"167","35240281","DA","Oakville",0.13607,594,173,168,"3524001","3524","5350612.03","35535",594,38,151962,151808,41984
"168","35240282","DA","Oakville",0.08709,368,104,104,"3524001","3524","5350612.03","35535",368,38,141076,132608,37760
"169","35240284","DA","Oakville",0.50289,1221,526,520,"3524001","3524","5350612.14","35535",1221,39.7,91827,62976,34944
"170","35240285","DA","Oakville",0.29961,604,176,175,"3524001","3524","5350612.14","35535",604,37.5,158239,150016,39808
"171","35240286","DA","Oakville",0.44021,827,248,247,"3524001","3524","5350612.13","35535",827,39.8,197742,145152,40149
"172","35240287","DA","Oakville",0.15783,629,188,187,"3524001","3524","5350612.13","35535",629,40.1,224850,133632,40704
"173","35240288","DA","Oakville",0.09516,386,118,115,"3524001","3524","5350612.13","35535",386,38.3,117837,133632,41344
"174","35240289","DA","Oakville",0.26696,917,467,457,"3524001","3524","5350612.13","35535",917,44.2,79673,57557,35430
"175","35240290","DA","Oakville",0.12356,559,255,253,"3524001","3524","5350612.13","35535",559,54,106597,75861,39893
"176","35240291","DA","Oakville",0.23529,552,177,177,"3524001","3524","5350612.05","35535",552,39.8,152770,128384,41728
"177","35240292","DA","Oakville",0.27462,998,308,305,"3524001","3524","5350612.05","35535",998,46.8,113808,104875,38571
"178","35240293","DA","Oakville",1.34061,762,285,283,"3524001","3524","5350612.05","35535",762,46.1,209425,137984,48000
"179","35240297","DA","Oakville",0.0868,405,147,146,"3524001","3524","5350612.05","35535",405,42.5,96342,74496,30880
"180","35240298","DA","Oakville",0.34666,687,215,214,"3524001","3524","5350612.05","35535",687,41.1,191426,140800,44672
"181","35240299","DA","Oakville",0.22534,617,195,194,"3524001","3524","5350612.05","35535",617,41.7,154169,149248,46208
"182","35240301","DA","Oakville",0.99054,1076,359,356,"3524001","3524","5350612.14","35535",1076,39.7,122619,100352,34112
"183","35240302","DA","Oakville",0.1603,639,188,187,"3524001","3524","5350612.14","35535",639,37.4,144772,130133,37803
"184","35240303","DA","Oakville",0.09167,406,126,124,"3524001","3524","5350612.14","35535",406,38.2,96043,97024,30016
"185","35240304","DA","Oakville",0.12965,493,153,151,"3524001","3524","5350612.13","35535",493,41.3,174987,140800,44800
"186","35240305","DA","Oakville",0.07365,315,99,99,"3524001","3524","5350612.14","35535",315,39.4,140442,119040,43648
"187","35240307","DA","Oakville",0.10416,974,423,395,"3524001","3524","5350612.05","35535",974,36.1,51446,38016,20267
"188","35240510","DA","Oakville",0.16033,546,190,189,"3524001","3524","5350610.02","35535",546,42.3,116366,109312,41088
"189","35240577","DA","Oakville",0.67785,569,199,182,"3524001","3524","5350609.00","35535",569,41.3,229619,129280,40960
"190","35240578","DA","Oakville",0.39603,540,188,185,"3524001","3524","5350609.00","35535",540,42.9,154896,113920,44544
"191","35240579","DA","Oakville",0.43389,492,195,188,"3524001","3524","5350609.00","35535",492,46.2,86535,71936,32416
"192","35240580","DA","Oakville",0.32645,580,199,192,"3524001","3524","5350609.00","35535",580,42,152728,122027,41216
"193","35240581","DA","Oakville",0.31603,621,189,186,"3524001","3524","5350609.00","35535",621,37.7,178434,149504,44864
"194","35240582","DA","Oakville",0.22156,492,193,189,"3524001","3524","5350610.04","35535",492,47.2,97884,84736,34219
"195","35240583","DA","Oakville",0.21593,512,177,174,"3524001","3524","5350610.04","35535",512,41.2,134090,115712,44928
"196","35240584","DA","Oakville",0.36802,620,267,243,"3524001","3524","5350605.00","35535",620,43.9,172712,96128,44928
"197","35240585","DA","Oakville",0.81451,872,301,281,"3524001","3524","5350605.00","35535",872,52.1,487979,183808,64640
"198","35240586","DA","Oakville",0.20361,510,239,211,"3524001","3524","5350605.00","35535",510,44.3,118256,87296,36651
"199","35240587","DA","Oakville",0.14391,530,308,277,"3524001","3524","5350605.00","35535",530,54,105932,74496,38976
"200","35240588","DA","Oakville",0.07437,238,179,139,"3524001","3524","5350603.00","35535",238,54.1,NA,65152,NA
"201","35240589","DA","Oakville",0.14978,845,519,505,"3524001","3524","5350603.00","35535",845,56.2,44688,26944,21376
"202","35240600","DA","Oakville",2.16424,1054,393,384,"3524001","3524","5350614.02","35535",1054,41.2,107326,84352,34816
"203","35240601","DA","Oakville",0.66656,1502,804,707,"3524001","3524","5350613.04","35535",1502,43.6,59750,48448,26304
"204","35240602","DA","Oakville",0.7209,876,306,303,"3524001","3524","5350612.05","35535",876,39.6,104368,104704,41165
"205","35240603","DA","Oakville",1.90149,5586,1784,1761,"3524001","3524","5350610.02","35535",5586,35.8,132806,120277,45170
"206","35240604","DA","Oakville",0.11814,419,124,124,"3524001","3524","5350612.12","35535",419,35.4,132331,123136,39808
"207","35240605","DA","Oakville",0.09992,461,138,137,"3524001","3524","5350612.12","35535",461,37.3,138617,135339,42368
"208","35240606","DA","Oakville",0.08042,392,113,113,"3524001","3524","5350612.12","35535",392,34.8,136947,130304,38528
"209","35240607","DA","Oakville",0.12698,635,195,195,"3524001","3524","5350612.12","35535",635,36.3,101943,102187,36224
"210","35240608","DA","Oakville",0.06212,343,100,100,"3524001","3524","5350612.12","35535",343,35.8,130124,123136,41920
"211","35240609","DA","Oakville",0.11242,456,129,129,"3524001","3524","5350612.12","35535",456,34.2,132407,125568,40128
"212","35240610","DA","Oakville",0.17072,433,127,127,"3524001","3524","5350612.27","35535",433,39.5,147201,136960,38784
"213","35240611","DA","Oakville",0.23532,594,173,170,"3524001","3524","5350612.27","35535",594,36.2,149370,145408,44224
"214","35240612","DA","Oakville",0.0674,375,110,110,"3524001","3524","5350612.27","35535",375,37.3,120768,115200,37248
"215","35240613","DA","Oakville",0.21687,506,156,156,"3524001","3524","5350612.27","35535",506,35.5,118394,121856,42560
"216","35240614","DA","Oakville",0.16573,642,214,213,"3524001","3524","5350612.27","35535",642,38.3,116375,93568,39808
"217","35240615","DA","Oakville",0.23464,928,332,322,"3524001","3524","5350613.03","35535",928,40.1,99942,86016,32448
"218","35240616","DA","Oakville",0.22961,603,183,181,"3524001","3524","5350600.02","35535",603,38.7,136534,120448,39808
"219","35240619","DA","Oakville",1.28857,1321,410,409,"3524001","3524","5350612.11","35535",1321,38.4,226504,142848,45414
"220","35240620","DA","Oakville",0.1717,409,117,117,"3524001","3524","5350612.11","35535",409,38.4,143517,130304,37504
"221","35240687","DA","Oakville",4.0821,7111,2194,2167,"3524001","3524","5350612.15","35535",7111,35.5,132767,114213,45184
"222","35240688","DA","Oakville",0.14014,1017,335,329,"3524001","3524","5350612.22","35535",1017,31.6,84246,83328,37376
"223","35240689","DA","Oakville",0.09432,779,230,230,"3524001","3524","5350612.23","35535",779,33.4,96066,96000,38272
"224","35240691","DA","Oakville",0.2696,966,242,241,"3524001","3524","5350612.23","35535",966,44.1,147742,107776,39552
"225","35240695","DA","Oakville",0.07397,608,209,207,"3524001","3524","5350612.21","35535",608,34,90823,87808,38464
"226","35240696","DA","Oakville",0.2295,759,212,207,"3524001","3524","5350612.21","35535",759,33.7,155724,130688,45376
"227","35240697","DA","Oakville",0.21335,896,305,301,"3524001","3524","5350612.21","35535",896,36.2,110268,98219,41856
"228","35240698","DA","Oakville",0.23189,1147,358,357,"3524001","3524","5350612.20","35535",1147,36.3,136434,104064,41600
"229","35240699","DA","Oakville",0.19222,1015,296,295,"3524001","3524","5350612.18","35535",1015,33.3,123550,113792,43264
"230","35240700","DA","Oakville",0.09839,587,182,180,"3524001","3524","5350612.19","35535",587,33.3,111374,100096,39872
"231","35240701","DA","Oakville",0.09535,583,161,161,"3524001","3524","5350612.19","35535",583,34.1,155992,137728,45568
"232","35240705","DA","Oakville",0.19237,697,226,226,"3524001","3524","5350612.19","35535",697,38,114941,97280,36608
"233","35240706","DA","Oakville",0.1277,650,205,204,"3524001","3524","5350612.19","35535",650,35,100571,83712,30208
"234","35240707","DA","Oakville",0.17684,754,216,216,"3524001","3524","5350612.20","35535",754,34.3,110781,104192,35968
"235","35240708","DA","Oakville",0.20335,772,210,210,"3524001","3524","5350612.20","35535",772,34.3,139592,151040,48256
