"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5877: Postsecondary certificate or diploma below bachelor level","v_CA21_5895: Bachelor's degree or higher","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over"
"153","35240270","DA","35240270",0.5218,571,210,199,"3524001","3524","5350608.00","35535",235,30,0,35,75,135,5.6,0,0,0,0,5,5,10,10,5,10,20,15,15,15,10,85
"154","35240271","DA","35240271",0.0889,318,107,106,"3524001","3524","5350611.00","35535",135,10,0,15,25,85,4.5,0,0,0,0,0,0,0,0,0,0,0,5,5,10,5,65
"155","35240272","DA","35240272",2.937,1430,547,536,"3524001","3524","5350612.03","35535",685,70,0,80,120,540,7.1,10,5,10,5,20,10,10,15,10,15,25,30,40,45,35,270
"156","35240273","DA","35240273",0.0589,251,80,80,"3524001","3524","5350612.03","35535",140,0,0,0,50,85,8,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,50
"157","35240274","DA","35240274",0.1387,498,167,155,"3524001","3524","5350612.03","35535",185,65,10,20,55,165,10.4,0,0,0,0,10,0,10,0,0,5,10,10,5,10,10,80
"158","35240275","DA","35240275",0.157,572,164,163,"3524001","3524","5350612.03","35535",260,10,0,35,55,200,6.4,0,0,0,0,0,0,0,0,0,0,5,10,15,10,10,105
"159","35240276","DA","35240276",0.2116,486,145,145,"3524001","3524","5350612.03","35535",210,10,0,0,35,180,2.8,0,0,0,0,0,0,0,0,0,0,5,10,5,0,5,110
"160","35240277","DA","35240277",0.1153,642,249,236,"3524001","3524","5350612.03","35535",270,60,30,95,100,100,8,0,0,10,5,10,15,5,5,10,10,25,20,10,20,10,75
"161","35240278","DA","35240278",0.0626,265,81,80,"3524001","3524","5350612.03","35535",135,25,0,10,0,110,10,5,0,0,0,0,0,0,0,0,0,0,0,5,0,10,45
"162","35240279","DA","35240279",0.141,475,155,154,"3524001","3524","5350612.03","35535",230,35,0,45,45,135,5.6,0,0,0,0,0,5,5,5,0,0,5,10,10,10,10,85
